"payment_method","year","churn_count"
"Credit/Debit Cards","1972","1"
"PayPal","1972","1"
"Credit/Debit Cards","1973","1"
"Prepaid/Virtual Cards","1973","1"
"Credit/Debit Cards","1974","2"
"Netflix Gift Cards","1974","1"
"PayPal","1974","2"
"Credit/Debit Cards","1975","3"
"Partner Billing","1975","1"
"Credit/Debit Cards","1976","1"
"Other Methods","1976","1"
"Credit/Debit Cards","1977","1"
"Netflix Gift Cards","1977","1"
"PayPal","1977","1"
"Credit/Debit Cards","1978","3"
"Credit/Debit Cards","1979","5"
"Credit/Debit Cards","1980","6"
"Netflix Gift Cards","1980","1"
"Credit/Debit Cards","1981","6"
"Other Methods","1981","1"
"Partner Billing","1981","2"
"PayPal","1981","1"
"Prepaid/Virtual Cards","1981","1"
"Credit/Debit Cards","1982","4"
"Netflix Gift Cards","1982","1"
"Credit/Debit Cards","1983","7"
"Netflix Gift Cards","1983","2"
"PayPal","1983","4"
"Prepaid/Virtual Cards","1983","1"
"Credit/Debit Cards","1984","3"
"Netflix Gift Cards","1984","1"
"Partner Billing","1984","1"
"PayPal","1984","2"
"Credit/Debit Cards","1985","3"
"Netflix Gift Cards","1985","3"
"Other Methods","1985","1"
"PayPal","1985","3"
"Prepaid/Virtual Cards","1985","1"
"Credit/Debit Cards","1986","9"
"Netflix Gift Cards","1986","5"
"Partner Billing","1986","1"
"PayPal","1986","2"
"Prepaid/Virtual Cards","1986","1"
"Credit/Debit Cards","1987","7"
"Netflix Gift Cards","1987","3"
"PayPal","1987","1"
"Credit/Debit Cards","1988","10"
"Netflix Gift Cards","1988","1"
"PayPal","1988","1"
"Credit/Debit Cards","1989","12"
"Netflix Gift Cards","1989","3"
"Partner Billing","1989","1"
"PayPal","1989","9"
"Credit/Debit Cards","1990","9"
"Netflix Gift Cards","1990","2"
"Partner Billing","1990","1"
"PayPal","1990","3"
"Credit/Debit Cards","1991","6"
"Other Methods","1991","1"
"Partner Billing","1991","2"
"PayPal","1991","5"
"Prepaid/Virtual Cards","1991","1"
"Credit/Debit Cards","1992","6"
"Netflix Gift Cards","1992","1"
"Partner Billing","1992","2"
"PayPal","1992","2"
"Credit/Debit Cards","1993","16"
"Netflix Gift Cards","1993","3"
"PayPal","1993","2"
"Prepaid/Virtual Cards","1993","2"
"Credit/Debit Cards","1994","16"
"Netflix Gift Cards","1994","1"
"Partner Billing","1994","1"
"Prepaid/Virtual Cards","1994","1"
"Credit/Debit Cards","1995","13"
"Netflix Gift Cards","1995","2"
"Other Methods","1995","1"
"Partner Billing","1995","1"
"PayPal","1995","3"
"Credit/Debit Cards","1996","16"
"Netflix Gift Cards","1996","2"
"Other Methods","1996","1"
"PayPal","1996","1"
"Prepaid/Virtual Cards","1996","1"
"Credit/Debit Cards","1997","12"
"Netflix Gift Cards","1997","1"
"Partner Billing","1997","2"
"PayPal","1997","5"
"Credit/Debit Cards","1998","13"
"Netflix Gift Cards","1998","1"
"Partner Billing","1998","1"
"PayPal","1998","8"
"Prepaid/Virtual Cards","1998","1"
"Credit/Debit Cards","1999","21"
"Netflix Gift Cards","1999","6"
"Partner Billing","1999","2"
"PayPal","1999","8"
"Credit/Debit Cards","2000","14"
"Netflix Gift Cards","2000","7"
"Other Methods","2000","1"
"Partner Billing","2000","2"
"PayPal","2000","8"
"Prepaid/Virtual Cards","2000","1"
"Credit/Debit Cards","2001","19"
"Netflix Gift Cards","2001","4"
"Other Methods","2001","1"
"PayPal","2001","5"
"Prepaid/Virtual Cards","2001","2"
"Credit/Debit Cards","2002","22"
"Netflix Gift Cards","2002","5"
"Other Methods","2002","2"
"Partner Billing","2002","2"
"PayPal","2002","2"
"Prepaid/Virtual Cards","2002","1"
"Credit/Debit Cards","2003","21"
"Netflix Gift Cards","2003","6"
"Other Methods","2003","2"
"Partner Billing","2003","1"
"PayPal","2003","4"
"Credit/Debit Cards","2004","24"
"Netflix Gift Cards","2004","3"
"Other Methods","2004","1"
"Partner Billing","2004","2"
"PayPal","2004","4"
"Prepaid/Virtual Cards","2004","1"
"Credit/Debit Cards","2005","13"
"Netflix Gift Cards","2005","4"
"Other Methods","2005","2"
"Partner Billing","2005","1"
"PayPal","2005","4"
"Prepaid/Virtual Cards","2005","2"
"Credit/Debit Cards","2006","26"
"Netflix Gift Cards","2006","4"
"Other Methods","2006","1"
"Partner Billing","2006","1"
"PayPal","2006","5"
"Prepaid/Virtual Cards","2006","1"
"Credit/Debit Cards","2007","21"
"Netflix Gift Cards","2007","4"
"Other Methods","2007","1"
"Partner Billing","2007","3"
"PayPal","2007","2"
"Prepaid/Virtual Cards","2007","1"
"Credit/Debit Cards","2008","22"
"Netflix Gift Cards","2008","2"
"Other Methods","2008","1"
"Partner Billing","2008","3"
"PayPal","2008","8"
"Prepaid/Virtual Cards","2008","1"
"Credit/Debit Cards","2009","19"
"Netflix Gift Cards","2009","4"
"Other Methods","2009","1"
"Partner Billing","2009","3"
"PayPal","2009","11"
"Credit/Debit Cards","2010","28"
"Netflix Gift Cards","2010","2"
"Partner Billing","2010","1"
"PayPal","2010","8"
"Prepaid/Virtual Cards","2010","1"
"Credit/Debit Cards","2011","26"
"Netflix Gift Cards","2011","4"
"Other Methods","2011","1"
"PayPal","2011","10"
"Prepaid/Virtual Cards","2011","4"
"Credit/Debit Cards","2012","24"
"Netflix Gift Cards","2012","5"
"Partner Billing","2012","2"
"PayPal","2012","13"
"Prepaid/Virtual Cards","2012","3"
"Credit/Debit Cards","2013","30"
"Netflix Gift Cards","2013","2"
"Partner Billing","2013","7"
"PayPal","2013","11"
"Prepaid/Virtual Cards","2013","3"
"Credit/Debit Cards","2014","20"
"Netflix Gift Cards","2014","7"
"Other Methods","2014","1"
"Partner Billing","2014","2"
"PayPal","2014","13"
"Prepaid/Virtual Cards","2014","1"
"Credit/Debit Cards","2015","38"
"Netflix Gift Cards","2015","7"
"Partner Billing","2015","1"
"PayPal","2015","11"
"Prepaid/Virtual Cards","2015","1"
"Credit/Debit Cards","2016","29"
"Netflix Gift Cards","2016","8"
"Other Methods","2016","2"
"Partner Billing","2016","4"
"PayPal","2016","3"
"Prepaid/Virtual Cards","2016","1"
"Credit/Debit Cards","2017","45"
"Netflix Gift Cards","2017","7"
"Partner Billing","2017","5"
"PayPal","2017","8"
"Prepaid/Virtual Cards","2017","1"
"Credit/Debit Cards","2018","58"
"Netflix Gift Cards","2018","8"
"Other Methods","2018","3"
"Partner Billing","2018","3"
"PayPal","2018","17"
"Prepaid/Virtual Cards","2018","3"
"Credit/Debit Cards","2019","34"
"Netflix Gift Cards","2019","9"
"Partner Billing","2019","4"
"PayPal","2019","12"
"Prepaid/Virtual Cards","2019","1"
"Credit/Debit Cards","2020","46"
"Netflix Gift Cards","2020","11"
"Other Methods","2020","1"
"Partner Billing","2020","2"
"PayPal","2020","14"
"Prepaid/Virtual Cards","2020","3"
"Credit/Debit Cards","2021","50"
"Netflix Gift Cards","2021","4"
"Other Methods","2021","1"
"Partner Billing","2021","5"
"PayPal","2021","26"
"Prepaid/Virtual Cards","2021","2"
"Credit/Debit Cards","2022","63"
"Netflix Gift Cards","2022","5"
"Other Methods","2022","3"
"Partner Billing","2022","5"
"PayPal","2022","24"
"Prepaid/Virtual Cards","2022","3"
"Credit/Debit Cards","2023","73"
"Netflix Gift Cards","2023","15"
"Other Methods","2023","4"
"Partner Billing","2023","3"
"PayPal","2023","31"
"Prepaid/Virtual Cards","2023","3"
"Credit/Debit Cards","2024","82"
"Netflix Gift Cards","2024","11"
"Other Methods","2024","1"
"Partner Billing","2024","7"
"PayPal","2024","20"
"Prepaid/Virtual Cards","2024","8"
"Credit/Debit Cards","2025","18"
"Netflix Gift Cards","2025","3"
"Other Methods","2025","1"
"Partner Billing","2025","1"
"PayPal","2025","7"
"Prepaid/Virtual Cards","2025","1"
