"genre","year","month","count"
"Action & Adventure","1970","2","0"
"Action & Adventure","1970","3","1"
"Action & Adventure","1970","4","0"
"Action & Adventure","1970","5","3"
"Action & Adventure","1970","6","1"
"Action & Adventure","1970","7","2"
"Action & Adventure","1970","8","2"
"Action & Adventure","1970","9","2"
"Action & Adventure","1970","10","2"
"Action & Adventure","1970","11","3"
"Action & Adventure","1970","12","1"
"Action & Adventure","1971","1","6"
"Action & Adventure","1971","2","3"
"Action & Adventure","1971","3","5"
"Action & Adventure","1971","4","3"
"Action & Adventure","1971","5","2"
"Action & Adventure","1971","6","4"
"Action & Adventure","1971","7","8"
"Action & Adventure","1971","8","11"
"Action & Adventure","1971","9","5"
"Action & Adventure","1971","10","5"
"Action & Adventure","1971","11","7"
"Action & Adventure","1971","12","5"
"Action & Adventure","1972","1","4"
"Action & Adventure","1972","2","5"
"Action & Adventure","1972","3","2"
"Action & Adventure","1972","4","3"
"Action & Adventure","1972","5","8"
"Action & Adventure","1972","6","8"
"Action & Adventure","1972","7","8"
"Action & Adventure","1972","8","7"
"Action & Adventure","1972","9","9"
"Action & Adventure","1972","10","11"
"Action & Adventure","1972","11","6"
"Action & Adventure","1972","12","5"
"Action & Adventure","1973","1","8"
"Action & Adventure","1973","2","12"
"Action & Adventure","1973","3","6"
"Action & Adventure","1973","4","5"
"Action & Adventure","1973","5","22"
"Action & Adventure","1973","6","8"
"Action & Adventure","1973","7","15"
"Action & Adventure","1973","8","14"
"Action & Adventure","1973","9","8"
"Action & Adventure","1973","10","12"
"Action & Adventure","1973","11","9"
"Action & Adventure","1973","12","17"
"Action & Adventure","1974","1","20"
"Action & Adventure","1974","2","12"
"Action & Adventure","1974","3","8"
"Action & Adventure","1974","4","12"
"Action & Adventure","1974","5","10"
"Action & Adventure","1974","6","13"
"Action & Adventure","1974","7","13"
"Action & Adventure","1974","8","7"
"Action & Adventure","1974","9","14"
"Action & Adventure","1974","10","20"
"Action & Adventure","1974","11","19"
"Action & Adventure","1974","12","8"
"Action & Adventure","1975","1","16"
"Action & Adventure","1975","2","19"
"Action & Adventure","1975","3","16"
